"Text","Positive","Negative","Score","Summary","PosPercent","NegPercent"
"upaya taaruf mengenali serangga tuan rumah kebun asik banget kebun disemprot pestisida serangga hilir mudik",6,7,-1,"Negative",0.461538461538462,0.538461538461538
"yaallah pengin taaruf",0,0,0,"Positive",0,0
"taaruf modelnya suami idaman kayak ya kak",3,2,1,"Positive",0.6,0.4
" meh taaruf wae ben koyo dindahw",0,1,-1,"Negative",0,1
" pacar dicariin teman daftaro taaruf kono lho lotre hadiahnya ckck heran",4,4,0,"Positive",0.5,0.5
"amsjsmhs hikaa lu meng ueee taaruf meng deh akta nikah busehh",1,1,0,"Positive",0.5,0.5
"wonpil ootd nya kayak remaja masjid pengin mengajak taaruf bawaan nya",3,3,0,"Positive",0.5,0.5
"lo taaruf",0,0,0,"Positive",0,0
" pacaran dibolehin taaruf ",1,1,0,"Positive",0.5,0.5
"galak banget shoto mengajak taaruf",2,1,1,"Positive",0.666666666666667,0.333333333333333
" kenal ta'aruf",1,2,-1,"Negative",0.333333333333333,0.666666666666667
" musim ta'aruf ya ibuku bilang ta'arufan ya iya jomblo tau mengajak ta'aruf hehehe",4,5,-1,"Negative",0.444444444444444,0.555555555555556
" taaruf",0,0,0,"Positive",0,0
" kali sahabatan ijin kayak ngajakin ta'aruf",1,4,-3,"Negative",0.2,0.8
"kubu ta aruf menganggap pacaran haram mendekati zina",2,3,-1,"Negative",0.4,0.6
" istilah ta aruf dipandang islami berbeda level istilah pacaran",2,3,-1,"Negative",0.4,0.6
"assalamualaikum wmwb ambo nak mengenali dunia twitter harapnya ilmu generasi muda medium twitter salam taaruf belake",8,5,3,"Positive",0.615384615384615,0.384615384615385
"indonesia musim musiman musim konspirasi musim ta aruf kemarin musim palestina musim filter ig rayuan besok musim hmm hmm",1,3,-2,"Negative",0.25,0.75
" kepikiran menikah taaruf ketahuan kalo pasangannya istri anak nikah kasih dokumen pribadi persyaratannya kasih surat keterangan nikah rtlurah",11,10,1,"Positive",0.523809523809524,0.476190476190476
" ijtihad pandangan berkaitan perlaksanaan ta'aruf seputar pengetahuan terasnya menjaga ikhtilat orang dicampuri maksiat berduaduaan mesej keperluan dll",8,5,3,"Positive",0.615384615384615,0.384615384615385
"hikmahkebaikan ta'aruf baca wallahu ta'ala alam apapun mencari pasangan trend terpengaruh sosial pressure eg single loser matured value youth kahwin amanah ",8,7,1,"Positive",0.533333333333333,0.466666666666667
" wanita risau berkaitan pencarian jodoh untaian berkaitan proses ta'aruf moga manfaatnya",7,3,4,"Positive",0.7,0.3
" ringkasnya proses ta'aruf ta'aruf takpa wasilah jaga patut adab merisik dijadikan pasangan hidup jaga ikhtilat ajak maksiat hormat parents orang",10,10,0,"Positive",0.5,0.5
"ta'aruf diambil bahasa arab membawa maksub berkenalan surah alhujurat allah ciptakan manusia lelaki perempuan berbangsa bersuku mengenali konteks pernikahan ta'aruf proses nak kenal calon",10,10,0,"Positive",0.5,0.5
" taaruf ",0,0,0,"Positive",0,0
" musim jalur ta'aruf",0,2,-2,"Negative",0,1
" ngajakin taaruf ",0,0,0,"Positive",0,0
"ta'aruf ",0,1,-1,"Negative",0,1
" taaruf sek",0,0,0,"Positive",0,0
"taaruf banget kakak dinda auwch ya",2,0,2,"Positive",1,0
"bismillah semoga acara haflah ta'aruf virtual kelas berjalan lancar sih banaat solihatt",4,4,0,"Positive",0.5,0.5
"alhamdulillah wasy syukrulillah selesai kegiatan haflah ta'aruf virtual jazakumullah ayah bunda banat solihaat partisipasinya semoga allah kesehatan kemudahan",8,6,2,"Positive",0.571428571428571,0.428571428571429
"behind scene pembuatan video live streaming haflah ta'aruf virtual terima kasih pimpinan pondok kamad mts tim dewan guru ponpes attaqwa putri mendukung mendoakan",7,5,2,"Positive",0.583333333333333,0.416666666666667
"alhamdulillah haflah ta'aruf virtual selesaaii jazakumullah ayahbunda banat sholihaat antusias partisipasinya insya allah besok semoga lancar ",6,4,2,"Positive",0.6,0.4
" jdohku mengajak taaruf",1,0,1,"Positive",1,0
"besok aing ta aruf ",0,1,-1,"Negative",0,1
"dawuhe abah ta'aruf nikah ta'aruf pernikahan pemahaman istri perempuan misterius",4,4,0,"Positive",0.5,0.5
"wkwkwkwk drama sih om sebelah kelar fan chelsea ta'aruf urusan sendal hilang mesjid ee menyolot bela khilafah serobot negara orang mikirnya sih omaigad kak",4,8,-4,"Negative",0.333333333333333,0.666666666666667
"emm enakan taaruf ya heuheu",2,1,1,"Positive",0.666666666666667,0.333333333333333
"butuh calon istri solehah dm",0,1,-1,"Negative",0,1
" habis rumah atsumu taaruf xixixx",2,1,1,"Positive",0.666666666666667,0.333333333333333
"rizki academy akui belajar taaruf youtube nikahi nadya mustika via",4,3,1,"Positive",0.571428571428571,0.428571428571429
" ta'aruf",0,1,-1,"Negative",0,1
"kenalan ta'aruf nikah kayak rumah bikin bangga orangtua haji anak sholih salihah cucu mati masuk surga semoga terkabul",8,8,0,"Positive",0.5,0.5
" fiqih kajian syariat ya memilih ta aruf kenalan bentar lamar nikah jalani rumah tangga sesuai aturan cinta tumbuh ",9,10,-1,"Negative",0.473684210526316,0.526315789473684
"namanya jatuh cinta kayak abang oiya bang nusa maunya taaruf ya",5,5,0,"Positive",0.5,0.5
" ta'aruf ",0,1,-1,"Negative",0,1
"gas taaruf tukang tipu kemarin",0,3,-3,"Negative",0,1
" ikutan taaruf online",1,1,0,"Positive",0.5,0.5
" gue ajak taaruf",1,0,1,"Positive",1,0
" taaruf",0,0,0,"Positive",0,0
" kakak nya typo sih salah baca tweet nya kayak mengiyakan dindahw taaruf nya nya salah kaprah hehe",1,5,-4,"Negative",0.166666666666667,0.833333333333333
" notif twitt berkurang teman balpon sedih teman kenal ta'aruf",1,4,-3,"Negative",0.2,0.8
" semestinya bercinta lepas nikah bercinta je cross batas agama deh tunang kena jaga ikhtilat pergaulan sok islam dianjurkan bertaaruf taaruf kenal nikah sok said bercinta batas",12,14,-2,"Negative",0.461538461538462,0.538461538461538
" je islam proses taaruf nikah berkenal menjaga batas pergaulan wali menemani cubalah ustaz asatizah mudir berdekatan kau nak komen ",7,6,1,"Positive",0.538461538461538,0.461538461538462
" memantaskan ",1,1,0,"Positive",0.5,0.5
"kalo sih langsung ajak taaruf",2,0,2,"Positive",1,0
"lo taaruf gue",0,0,0,"Positive",0,0
"yeah taaruf yuk",1,0,1,"Positive",1,0
" menonton ngebahas taaruf tv mama senyumsenyum lihat mengerti ",3,2,1,"Positive",0.6,0.4
"selektif upaya memperjuangkan jenjang pernikahan benerbener niat serius lihat situasi gua kuliah menunggu lulus cepat pakai pacaran ta'aruf perkenalkannya singkat langsung nikah ",12,14,-2,"Negative",0.461538461538462,0.538461538461538
"kalo doa taaruf nikah pacaran ya orang ya silakan doa allah doa menyakiti perasaan orang mengomong nikung pacarnya tahajud women supporting women",14,12,2,"Positive",0.538461538461538,0.461538461538462
"ta'aruf biar dosa pahala pacaran menikah",4,6,-2,"Negative",0.4,0.6
"indak pernahnya pdkt sehari habis langsung jadian kayak taaruf wkwkwkkwkwwkwkkwkw",3,3,0,"Positive",0.5,0.5
" sih laki jaman pacaran habis hijrah taaruf nikah dipacari maksudnya mengerti hijrah nikah ah bambaaannggg",7,7,0,"Positive",0.5,0.5
"angel mengomong aruf ta soriiiiii",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"stalk media sosial sekala gambar medsos reveal following tengok komen jaga ikhtilat berkenan berdasarkan taaruf risikan ",5,5,0,"Positive",0.5,0.5
" musim taaruf wkwk",0,0,0,"Positive",0,0
"pengin taaruf",0,0,0,"Positive",0,0
"nek wis ta aruf kuwi ora ngejak dolan metu jalanjalan piknik ngechat mimpi indah kuwi jenenge yangyangan ukhti milenial kandane angel",2,3,-1,"Negative",0.4,0.6
"kalo taaruf sih",0,0,0,"Positive",0,0
"taaruf biar uwu",1,1,0,"Positive",0.5,0.5
"kalo akusi ta'aruf pacarannya kalo nikah biar pahala dosa",4,6,-2,"Negative",0.4,0.6
" serabut nak daftar minggu taaruf je rileks marathon itaewon class ",1,1,0,"Positive",0.5,0.5
" ketemu ngelanggar taaruf ",1,0,1,"Positive",1,0
" deh kalo saudara kenal cowok taaruf cowok suka rep difanbase alter sikap ",3,2,1,"Positive",0.6,0.4
"lngsugn taaruf ya",1,0,1,"Positive",1,0
"ogah taaruf lu",0,1,-1,"Negative",0,1
"taaruf ",0,0,0,"Positive",0,0
"rey mbarang ki gathelmarakke wedokan jaluk toaraf taaruf",0,0,0,"Positive",0,0
"kalo ta'aruf kenal ya kayak ya kenal kayaknya ujug jatuh cinta nikah ya main cari partner beribadah usia ta'aruf ",11,12,-1,"Negative",0.478260869565217,0.521739130434783
" klick menyambung orangnya diajak diskusi bareng visi kedepannya tau kalo tau kepribadiannya sok ujug mengajak ta'aruf banget calon pasangannya",8,6,2,"Positive",0.571428571428571,0.428571428571429
"taaruf komunikasi ikhwan akhwat nya sayang salah mengartikan taaruf",3,3,0,"Positive",0.5,0.5
"cewek kalo cari suami maunya langsung ta'aruf pacaran ",4,4,0,"Positive",0.5,0.5
"taaruf odel gamauk",0,0,0,"Positive",0,0
"bukunya hadiah taaruf maharnya beda alhamdulillah",2,2,0,"Positive",0.5,0.5
"dosen alesan masuk akper guemau cari calon papah anak anak ",3,4,-1,"Negative",0.428571428571429,0.571428571428571
"besok ta'aruf pakai cadar hidup uang mati masuk surga",3,5,-2,"Negative",0.375,0.625
"rizki ''academy' dituding tikung sang istri pria tampan kedok taaruf terbongkar",1,1,0,"Positive",0.5,0.5
"sunan kalijaga tes pacar bule salmafina singgung kegagalan taaruf ",3,3,0,"Positive",0.5,0.5
"isu kedok taaruf geger video rizky 'academy nadya mengaji dicibir bercumbu",2,5,-3,"Negative",0.285714285714286,0.714285714285714
"bantah nikung rizki ''academy' beber proses taaruf istri berkat kekuatan doa",6,4,2,"Positive",0.6,0.4
"rizki ''academy' dituduh tikung istri berkedok taaruf nadya 'cuek' pamer gigi indah",3,3,0,"Positive",0.5,0.5
"dinda hauw alasan tutuptutupi taaruf rey mbayang",0,0,0,"Positive",0,0
"nikahi vebby palwinta jalan taaruf razi bawazier sang istri artis",3,2,1,"Positive",0.6,0.4
"nadya tuduhan pacari pria taaruf rizki ''academy' istri hapus ig",2,2,0,"Positive",0.5,0.5
"rizki ''academy' nikahi wanita cantik maskawin segini proses taaruf terungkap",5,3,2,"Positive",0.625,0.375
"skip cantik sih diajak ta'aruf",2,2,0,"Positive",0.5,0.5
"hala halaa taaruf mode ",0,0,0,"Positive",0,0
"menikah gue ta'aruf seminggu mengutarakan besoknya nikah kepala lu benjut",3,5,-2,"Negative",0.375,0.625
"yeah gue korban taaruf calon jodoh",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"ta'aruf zuzu skuy kakak",0,1,-1,"Negative",0,1
" ajak pacaran ajak ta'aruf hee",3,2,1,"Positive",0.6,0.4
" kemarin diajak taaruf loh",1,0,1,"Positive",1,0
" tv nayangain artis ta'aruf kenalan dm kenal project bareng asumsi ta'aruf kenal bentar langsung nikah nikah pacaran bagus cuman sih mesti bawa ta'aruf 'sih different sorry sayang",12,17,-5,"Negative",0.413793103448276,0.586206896551724
"nyokap mengomong fer kalo cari istri pacar kayak normal normal ya anak anak piyik taaruf mom eneg gua liatnyaa lebay",8,8,0,"Positive",0.5,0.5
" pacar mengajak taaruf nya orang ceritanya wkwkwk",5,3,2,"Positive",0.625,0.375
" bunda gue mmksutnya sih mengomongkan taaruf malu sksks anakmu msi skulaaa bunaa",4,4,0,"Positive",0.5,0.5
"kalo cita mengalahkan chep ta'aruf",1,3,-2,"Negative",0.25,0.75
" deh nyokap gue nyuruh gue taaruf yaallah mah",0,1,-1,"Negative",0,1
"bm ta'aruf ",0,1,-1,"Negative",0,1
"mengekek banget siaranya taaruf taaruf chat via dm taaruf menulis bio nikah muda",4,2,2,"Positive",0.666666666666667,0.333333333333333
" sih ta'aruf",0,1,-1,"Negative",0,1
"pengin ta'aruf",0,1,-1,"Negative",0,1
"habis musim sepeda terbitlah musim ta'aruf",2,2,0,"Positive",0.5,0.5
"ta'aruf ",0,1,-1,"Negative",0,1
"jomblo team ta'aruf wae",2,2,0,"Positive",0.5,0.5
"oh ya pacaran kalo ta'aruf ya",3,2,1,"Positive",0.6,0.4
"ta'aruf hehe",0,1,-1,"Negative",0,1
"taaruf singkat",0,1,-1,"Negative",0,1
"mengakak tbtb mimpi diajak taaruf wkwkwk gara kebanyakan menonton explore ig nih isinya begituan ",5,5,0,"Positive",0.5,0.5
"bilangnya pacaran ketemu digas chattelpon jalan pas kawin bilangnya taaruf ckc",4,3,1,"Positive",0.571428571428571,0.428571428571429
" nya taaruf cel pacaran tetangga ku kuliah kelar lamaran bahan ghibahan tetangga astaga",4,4,0,"Positive",0.5,0.5
"agama melarang pacaran ta'aruf pacaran dilarang zina zina dekati kua",4,7,-3,"Negative",0.363636363636364,0.636363636363636
" musim nikah taaruf ",1,1,0,"Positive",0.5,0.5
" taaruf ",0,0,0,"Positive",0,0
"takut ajak taaruf bang",2,1,1,"Positive",0.666666666666667,0.333333333333333
"taaruf ya bang",1,0,1,"Positive",1,0
"ya sapatau taaruf ",1,0,1,"Positive",1,0
" taaruf mbak",0,0,0,"Positive",0,0
"ojo pacarantaaruf waepacaran dosa e okeh",0,1,-1,"Negative",0,1
" mie gelas ta'aruf sayang",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"yaudah lgsng ta'aruf ",1,2,-1,"Negative",0.333333333333333,0.666666666666667
" ceritanya pagi beresin kamar awalmya mama pacar papa bilang taaruf ",4,3,1,"Positive",0.571428571428571,0.428571428571429
"topik taaruf sandal kasihan sandalnya terbawa",2,2,0,"Positive",0.5,0.5
" pengajuan cv taaruf",0,1,-1,"Negative",0,1
"santuy wkwk diajak ta'arufbayangin spa tau nsibnya kayak dinda hauw mwehehe",1,3,-2,"Negative",0.25,0.75
"ngajakin ta'aruf ",0,1,-1,"Negative",0,1
"oh ya taaruf yuk",2,0,2,"Positive",1,0
"taaruf yuk taaruf",1,0,1,"Positive",1,0
" nikahnya besok barulah ta'aruf ta'aruf mainan ",2,4,-2,"Negative",0.333333333333333,0.666666666666667
"syarat taaruf pakai iphone wkwk",0,0,0,"Positive",0,0
" bermaksus salty kasih tau taaruf pakai perantara bwang taaruf perantara wkwk",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"hubungan ta'aruf sakarotul maut ",2,2,0,"Positive",0.5,0.5
"ikhwan mengikuti taaruf online media sosial akun ikuti ana takutkan akhwat korban abu nadzornya ya mencari cantik gapapa ya ",10,8,2,"Positive",0.555555555555556,0.444444444444444
"berbalik islam ajarkan isu islam ajarkan taaruf khitbah nikah",5,5,0,"Positive",0.5,0.5
" taaruf je umur hahahahaha",1,1,0,"Positive",0.5,0.5
"pemuja rahasianya nya langsung meminang ta'aruf",3,2,1,"Positive",0.6,0.4
"ya cari lagin ta'aruf folback ya",3,2,1,"Positive",0.6,0.4
"ta'aruf hubungan cinta ditafsirkan proses perkenalan tujuannya menyempurnakan agama merujuk tahap perkahwinan",8,7,1,"Positive",0.533333333333333,0.466666666666667
" ta'aruf dikenali masyarakat islam indonesia ta'aruf berkaitan dunia percintaan ya dunia percintaan topik menarik kehidupan orang ramai perspektif islam",13,11,2,"Positive",0.541666666666667,0.458333333333333
" islam mendekati sih suka berkenan hati menjalani taaruf taaruf post datangya",6,5,1,"Positive",0.545454545454545,0.454545454545455
"maksud ta'aruf interaksi orang disertai tujuan tujuan segi makna ta'aruf luas kerana melibatkan persaudaraan persahabatan perkahwinan ",10,10,0,"Positive",0.5,0.5
"ta'aruf ditafsirkan memperkenalkan mengenal mengenali orang ",5,5,0,"Positive",0.5,0.5
" islam peringkat menghalalkan wanita muslim peringkat ta'aruf khitbah nikahakadijab qabul",2,1,1,"Positive",0.666666666666667,0.333333333333333
"era taaruf perantaranya mark zuckerberg",0,0,0,"Positive",0,0
"taaruf mbayang",0,0,0,"Positive",0,0
"anjir wkwk yauda taaruf deh ayo ",2,2,0,"Positive",0.5,0.5
"ya tau taaruf kenalan",2,2,0,"Positive",0.5,0.5
"iyo iku masuk e ng taaruf langsung iyo ya",2,1,1,"Positive",0.666666666666667,0.333333333333333
"gunanya taaruf kalo kenal duluan ughtea",3,2,1,"Positive",0.6,0.4
"taaruf kenalan ya",2,1,1,"Positive",0.666666666666667,0.333333333333333
"anjaaaaay cocok nih teman gue tuh suka nyalah gunain ta'aruf",2,3,-1,"Negative",0.4,0.6
" proper way taaruf kak selidik kat member kak pasangan anak pilih mak ayah",3,3,0,"Positive",0.5,0.5
" mbamw nikah ajakeluarga perkenalan dlugimana orang nya keluarga takes time taaruf butuh proses instan",5,5,0,"Positive",0.5,0.5
"asek nikahnya pakai proses taaruf ",2,1,1,"Positive",0.666666666666667,0.333333333333333
" mengenal bikin cv taaruf kak",1,1,0,"Positive",0.5,0.5
"non muslim nek ta'aruf iso ora",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"opo ngan arak ta'aruf kene sebutno suami idaman mu mbokne ng pasar legi okeh",3,2,1,"Positive",0.6,0.4
"maaf taaruf ",1,1,0,"Positive",0.5,0.5
" kenal taaruf",1,1,0,"Positive",0.5,0.5
" kenal taaruf",1,1,0,"Positive",0.5,0.5
"ggg tipe tipe cocok lngsng ta'aruf",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"ta'aruf langsung nikah langsung anak langsung hehe",5,3,2,"Positive",0.625,0.375
" sih orangorang ta'aruf",0,1,-1,"Negative",0,1
"iki ceritane piye tho taaruf berlanjut kehilangan sandal ngono ",2,3,-1,"Negative",0.4,0.6
"kepikiran lamaaa banget gara sepasang artis nikah viral kemarin taaruf belajar bab taaruf status pacaran taaruf ya guys dieditkan qaqa manager",9,6,3,"Positive",0.6,0.4
"wkwkkwwk ya sih taaruf kenalan disitu mbaknya makek kenalan habis taaruf",4,3,1,"Positive",0.571428571428571,0.428571428571429
"ngapunten gus tata pacaran taaruf berbeda ya pripun orang menyalahgunakan istilah taaruf ngakunya taaruf sesuai tuntunan islam mohon penjelasannya",8,7,1,"Positive",0.533333333333333,0.466666666666667
"doain ya taaruf",2,0,2,"Positive",1,0
" meneng taaruf ngono kak wkwkwkwk sesok nek wes rabi ojok takok malam ilerang sayang kudu guyang banyu korah ",2,3,-1,"Negative",0.4,0.6
"lho seng njawab koe padike pengin taaruf kaso sih kui",0,0,0,"Positive",0,0
" gagal kesalahan bikin taaruf indah",1,3,-2,"Negative",0.25,0.75
"rizki 'academy istri cantik ta'aruf ridho gampang",3,3,0,"Positive",0.5,0.5
"rizki nikah ta aruf ridho mengaku sanggup",3,2,1,"Positive",0.6,0.4
"rizki istri menikah proses taaruf singkat",3,2,1,"Positive",0.6,0.4
"taaruf rizki 'academy nadya lihat telapak tangan wajah",3,0,3,"Positive",1,0
"rizki dibully nikahi pacar orang netter taaruf menempel banget",5,4,1,"Positive",0.555555555555556,0.444444444444444
"nikah taaruf pernyataan mengejutkan rizki bikin geger",5,4,1,"Positive",0.555555555555556,0.444444444444444
" artis sukses pasangan taaruf uas bocorkan triknya",3,1,2,"Positive",0.75,0.25
"jodoh masingmasing tinggal menemukannya keseringan jaga jodoh orang lainudah ta'aruf ",7,6,1,"Positive",0.538461538461538,0.461538461538462
"yuk ta'aruf rp ehe",1,1,0,"Positive",0.5,0.5
"sunwoo ganteng banget taaruf yuk",3,1,2,"Positive",0.75,0.25
"astangkap ganteng banget mantan pengin mengajak taaruf",3,2,1,"Positive",0.6,0.4
"kalo serius ta'aruf",0,2,-2,"Negative",0,1
" indak sreg taaruf ya ndapapa mengamini nikah sakral banget tau calon indak pacaran alim mah pas pdkt",8,5,3,"Positive",0.615384615384615,0.384615384615385
" taaruf ngab eue test drive",0,0,0,"Positive",0,0
" dipikirkannya cinta nikah bucin ta'aruf cinta cinta",5,6,-1,"Negative",0.454545454545455,0.545454545454545
"langsung taaruf ya mastit",2,0,2,"Positive",1,0
"heran deh couo cepat banget ganti pasangan pas putus ta'aruf ya deh pas ceue",9,5,4,"Positive",0.642857142857143,0.357142857142857
"taaruf nih mantap",1,0,1,"Positive",1,0
"bayangkan mengajak ta'aruf goodloking hartanya paham agama",3,2,1,"Positive",0.6,0.4
"yoes ta'aruf kalo sapa tau teman mabarteman hidup aww",1,3,-2,"Negative",0.25,0.75
"sebong pacar ya biariiin disuruh taaruf ",2,2,0,"Positive",0.5,0.5
"ya gapapa sih bang han tau taaruf",1,1,0,"Positive",0.5,0.5
"sejenis penyakit menyerang ikhwan jaman now menggebu mengajak akhwat ta'aruf pas nazhor lihat wajah sih akhwat terserang muntaber mundur berita akhwat semoga terhindar ikhwan amin cc sg teman",5,7,-2,"Negative",0.416666666666667,0.583333333333333
"duh pagi disuguhi pernyataan sahabat calon ta'aruf",4,5,-1,"Negative",0.444444444444444,0.555555555555556
" anisa rahma anandito dwis dinda hauw rey mbayang vebby palwinta razi bawazier berkenalan instragam berlanjut ta'aruf mengenal menikah idaman deh jodoh tau",6,8,-2,"Negative",0.428571428571429,0.571428571428571
" musim ta'aruf ramai dinda hauw risky ridho academy ta'aruf langsung menikah",3,4,-1,"Negative",0.428571428571429,0.571428571428571
"dinda hauw rey mbayang taaruf felix siauw pacaran super modus",2,3,-1,"Negative",0.4,0.6
"gue trauma pacaran pengin nya langsung nikah taaruf",4,3,1,"Positive",0.571428571428571,0.428571428571429
"dtgi ustad ta'aruf",0,1,-1,"Negative",0,1
" buku penghubung catatan guru kalo qais hafal nama teman nya seminggu ta'aruf ",3,3,0,"Positive",0.5,0.5
"ta'aruf",0,1,-1,"Negative",0,1
"ok bang ta'aruf nikah ya calonnya kleatan huhu",3,2,1,"Positive",0.6,0.4
"bosan banget sih kayak doang taaruf diluar banyaaaaaakkkkk banget orang taaruf sukses nikah cuman expose ",7,5,2,"Positive",0.583333333333333,0.416666666666667
"hah serius sumpah pengin mengajak taaruf ciwi ciwi langka",2,3,-1,"Negative",0.4,0.6
"mmf jbjb kayaknya maksudnya kalo mas mimpinya whatsapp chattingan sender bilangnya pertanda allah taaruf chatingan cmiiw",4,3,1,"Positive",0.571428571428571,0.428571428571429
" halal nikah muda poligami ta aruf doang",3,4,-1,"Negative",0.428571428571429,0.571428571428571
"rumit wi mengko nder lek enek ketiga seng digawe jalan taaruf lek wes wes serius langsung tuone ben salah jalan nek niatmu taaruf khitbah nikah",4,7,-3,"Negative",0.363636363636364,0.636363636363636
"pengakuan razi bawazier proses taaruf vebby palwinta artis",3,1,2,"Positive",0.75,0.25
"taaruf ngejak wonge sih bukane taaruf haruse omong",1,1,0,"Positive",0.5,0.5
" isi sosmed menceritakan kisah cintanya pacaran nikah ditikung teman selingkuh nikah 'taaruf' huuuu",6,7,-1,"Negative",0.461538461538462,0.538461538461538
"pancen peraturan peraturan gusti allah iku wis bendeer yaaaps sekaleee proses perjodohan basa basi okelah ta'aruf pakai huhuhu ku wuwwuwu",7,6,1,"Positive",0.538461538461538,0.461538461538462
"ho oo ya ta aruf kesannya kayak pelakor mesak ",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"goro goro dindahwreymbyng podo salah kaprah ngartikne ta'aruf ta'aruf kuwi ketiga nder gaisok kon langsung kontak karo calon ngunu ",2,4,-2,"Negative",0.333333333333333,0.666666666666667
"bel pilih nikah taaruf",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"lo taaruf gue ",0,0,0,"Positive",0,0
" ta aruf mengalami pergeseran makna",2,3,-1,"Negative",0.4,0.6
"wakakakk meng pendekatan biar taaruf eh",2,2,0,"Positive",0.5,0.5
" iya terima ajakan ta'aruf lumayan makan ikan goreng",5,5,0,"Positive",0.5,0.5
" lu taaruf ",0,0,0,"Positive",0,0
"haduu taaruf iku ngono konsep e wes sah melu melu sing viral",1,0,1,"Positive",1,0
"taaruf ngene mas podo saman iki pakboi syariah",0,0,0,"Positive",0,0
"punten taaruf butuh cv",0,1,-1,"Negative",0,1
" couple islam nak kenal taaruf islam deh ajar mengenal couple berpegangan tangan bunga panggil baby sayang erghh tengok drama islam ajar ",14,10,4,"Positive",0.583333333333333,0.416666666666667
" didalam pertunangan jalan berdua duaan kena ketigakeluarga pertunangan taaruf je kenaljujur puas hati kahwin carilah pasangan beragama zaman remaja nak nikmatnya couple huh",13,8,5,"Positive",0.619047619047619,0.380952380952381
"hoalaa nder nder podo koyok pacaran ganti judul tok taaruf wkw",3,2,1,"Positive",0.6,0.4
"arekarek ambek e podo ta'aruf ambek areknya ta'awurrrrrr lossss dorrrr",0,2,-2,"Negative",0,1
"cht orang dikenal ajak ta'aruf",3,3,0,"Positive",0.5,0.5
"cah iki taarufan nder hooh taaruf ",0,0,0,"Positive",0,0
"konsep e taaruf ngno kakean ndelok rey po taaruf ki awakmu komunikasi langsung perantara",2,1,1,"Positive",0.666666666666667,0.333333333333333
" taaruf kak",0,0,0,"Positive",0,0
"taaruf razi bawazier vebby palwinta artis ",1,0,1,"Positive",1,0
" kali gue lihat vc music pop indonesia bertema ta'aruf digarap serius berdasarkan kisah nyata",4,4,0,"Positive",0.5,0.5
"masyaallah kawan lingkungan terdekat taaruf ",1,1,0,"Positive",0.5,0.5
"actually pelbagai taaruf orang proposal tulis maklumat biodata background keluargapendidikan kelemahan kebaikan wajib jujur maklumat ya",7,7,0,"Positive",0.5,0.5
